state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
216,38,McLaurin Attendance Center,3A,1-2,14.1,3,1,-0.8,26.6,15.0,40.3,256,-3.11,13.7,Playing down,-0.667,1,0,2
217,28,Potts Camp High School (5-12),1A,1-1,13.2,4,3,-0.0,5.9,23.0,39.0,249,0.77,8.5,Playing up,1.0,2,0,0
218,39,St. Andrew’S,3A,0-3,13.1,-19,-3,-12.0,29.7,12.0,37.0,265,-11.68,15.9,Playing down,-2.0,0,0,2
219,39,Strayhorn High School,2A,0-3,12.5,5,0,1.2,22.1,23.3,43.7,266,-11.8,10.2,Playing down,-1.0,0,0,2
220,29,Ashland Middle-High School,1A,0-3,12.3,-6,-3,-5.5,31.5,15.3,42.3,270,-14.53,13.3,Playing up,1.667,2,1,0
221,30,Falkner Attendance Center,1A,1-2,11.6,-5,-3,-6.0,6.8,15.3,27.3,264,-10.33,7.2,Playing up,1.5,2,0,0
222,31,West Lowndes High School,1A,0-3,10.9,3,3,1.9,20.7,9.3,41.7,255,-3.07,18.8,Playing up,0.667,1,2,0
223,32,H. W. Byers High School (5-12),1A,0-3,7.8,-10,-7,-10.2,13.1,6.0,29.3,269,-14.52,10.4,Playing up,2.0,3,0,0
224,33,West Lincoln School,1A,0-3,7.7,-1,0,-4.2,18.5,6.0,32.7,273,-15.8,10.6,Playing up,0.5,1,1,0
225,34,Mount Olive Attendance Center,1A,0-3,6.4,-3,-2,-6.1,12.6,2.0,40.7,272,-15.34,14.3,Playing up,1.333,3,0,0
