calendar_date,home,away,home_name,away_name,home_score,away_score,neutral,forfeit,both_teams_ranked,perspective_check
2026-09-03,jim-hill,port-gibson,Jim Hill High School,Port Gibson High School,8,38,False,False,True,consistent
2026-09-03,lake,sebastopol,Lake High School,Sebastopol Attendance Center,46,27,False,False,True,consistent
2026-09-03,myrtle,potts-camp,Myrtle Attendance Center,Potts Camp High School (5-12),42,6,False,False,True,consistent
2026-09-03,provine,ridgeland,Provine High School,Ridgeland High School,0,35,False,False,True,consistent
2026-09-04,calhoun-city,aberdeen,Calhoun City High School,Aberdeen High School,36,46,False,False,True,consistent
2026-09-04,alcorn-central,falkner,Alcorn Central High School,Falkner Attendance Center,41,0,False,False,True,consistent
2026-09-04,amanda-elzy,greenville,Amanda Elzy High School,Greenville High School,0,42,False,False,True,consistent
2026-09-04,amite-county,richton,Amite County High School,Richton High School,28,0,False,False,True,consistent
2026-09-04,caledonia,amory,Caledonia High School,Amory High School,27,7,False,False,True,consistent
2026-09-04,mantachie,ashland,Mantachie Attendance Center,Ashland Middle-High School,45,26,False,False,True,consistent
2026-09-04,booneville,baldwyn,Booneville High School,Baldwyn High School,44,12,False,False,True,consistent
2026-09-04,st-stanislaus,bay,St. Stanislaus,Bay High School,42,7,False,False,True,consistent
2026-09-04,taylorsville,bay-springs,Taylorsville Attendance Center,Bay Springs High School,0,30,False,False,True,consistent
2026-09-04,belmont,walnut,Belmont School,Walnut Attendance Center,29,0,False,False,True,consistent
2026-09-04,biggersville,tishomingo-county,Biggersville High School,Tishomingo County High School,7,56,False,False,True,consistent
2026-09-04,pascagoula,biloxi,Pascagoula High School,Biloxi High School,17,8,False,False,True,consistent
2026-09-04,pisgah,bogue-chitto,Pisgah High School,Bogue Chitto School,35,14,False,False,True,consistent
2026-09-04,brandon,madison-central,Brandon High School,Madison Central High School,33,23,False,False,True,consistent
2026-09-04,brookhaven,franklin,Brookhaven High School,Franklin High School,42,6,False,False,True,consistent
2026-09-04,bruce,vardaman,Bruce High School,Vardaman High School,42,0,False,False,True,consistent
2026-09-04,independence,byhalia,Independence High School,Byhalia High School (9-12),31,0,False,False,True,consistent
2026-09-04,callaway,murrah,Callaway High School,Murrah High School,23,48,False,False,True,consistent
2026-09-04,external-253156,center-hill,external-253156,Center Hill High School,6,43,False,False,False,single_ranked_team
2026-09-04,north-panola,charleston,North Panola High School,Charleston High School,14,24,False,False,True,consistent
2026-09-04,external-261951,choctaw-central,external-261951,Choctaw Central,28,27,False,False,False,single_ranked_team
2026-09-04,choctaw-county,new-hope,Choctaw County High School,New Hope High School,30,47,False,False,True,consistent
2026-09-04,clarkdale,stringer,Clarkdale High School,Stringer Attendance Center,22,8,False,False,True,consistent
2026-09-04,clarksdale,coahoma-county,Clarksdale High School,Coahoma County Jr/Sr High School,46,12,False,False,True,consistent
2026-09-04,northwest-rankin,clinton,Northwest Rankin High School,Clinton High School,44,34,False,False,True,consistent
2026-09-04,j-z-george,coffeeville,J Z George High School,Coffeeville High School,13,8,False,False,True,consistent
2026-09-04,seminary,collins,Seminary High School,Collins High School,49,0,False,False,True,consistent
2026-09-04,southaven,columbus,Southaven High School,Columbus High School,41,0,False,False,True,consistent
2026-09-04,corinth,itawamba-agricultural,Corinth High School,Itawamba Agricultural High School,14,21,False,False,True,consistent
2026-09-04,raymond,crystal-springs,Raymond High School,Crystal Springs High School,18,0,False,False,True,consistent
2026-09-04,lake-cormorant,desoto-central,Lake Cormorant High,Desoto Central High School,14,7,False,False,True,consistent
2026-09-04,diberville,gautier,Diberville Senior High Sch,Gautier High School,35,14,False,False,True,consistent
2026-09-04,st-martin,east-central,St. Martin High School,East Central High School,34,0,False,False,True,consistent
2026-09-04,hazlehurst,east-marion,Hazlehurst High School,East Marion High School,31,22,False,False,True,consistent
2026-09-04,mooreville,east-union,Mooreville High School,East Union Attendance Center,62,21,False,False,True,consistent
2026-09-04,east-webster,nanih-waiya,East Webster High School,Nanih Waiya Attendance Center,47,13,False,False,True,consistent
2026-09-04,gentry,edwards,Gentry High School,Thomas E. Edwards,0,34,False,False,True,consistent
2026-09-04,pelahatchie,enterprise-brookhaven,Pelahatchie Attendance Center,Enterprise (Brookhaven),18,26,False,False,True,consistent
2026-09-04,enterprise-clarke,southeast-lauderdale,Enterprise (Clarke),Southeast Lauderdale High School,27,13,False,False,True,consistent
2026-09-04,ethel,st-andrews,Ethel Attendance Center,St. Andrew’S,41,6,False,False,True,consistent
2026-09-04,french-camp,eupora,French Camp,Eupora High School,14,34,False,False,True,consistent
2026-09-04,picayune,external-229409,Picayune Memorial High School,external-229409,17,48,False,False,False,single_ranked_team
2026-09-04,external-231146,strayhorn,external-231146,Strayhorn High School,48,6,False,False,False,single_ranked_team
2026-09-04,tupelo,external-231289,Tupelo High School,external-231289,49,7,False,False,False,single_ranked_team
2026-09-04,external-231342,tupelo-christian-prep,external-231342,Tupelo Christian,22,29,False,False,False,single_ranked_team
